Date,Away_Team,Home_Team,Game_Status,Away_Win_Prob,Home_Win_Prob,Away_Proj_Runs,Home_Proj_Runs,Proj_Total,Pinnacle_Away_ML,Pinnacle_Home_ML,Pinnacle_Total_Line,Away_EV,Away_Kelly,Home_EV,Home_Kelly,Over_EV,Over_Kelly,Under_EV,Under_Kelly,Actual_Away_Runs,Actual_Home_Runs,Actual_Total,Lineups_Confirmed
2026-09-19,CHC,CIN,Final,75.2,24.8,6.34,4.34,10.7,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,5,2,7,N/A
2026-09-19,DET,CHW,Final,43.6,56.4,4.08,4.52,8.6,,,,,,,,,,,,1,3,4,N/A
2026-09-19,KCR,PIT,Final,43.9,56.1,4.25,4.69,8.9,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,5,6,11,N/A
2026-09-19,MIA,SDP,Final,46.1,53.9,3.98,4.23,8.2,136,-147,7.5,8.8,,-9.4,,13.7,,-18.9,,6,7,13,N/A
2026-09-19,MIL,BAL,Final,65.3,34.7,4.97,3.99,9.0,,,,,,,,,,,,1,0,1,N/A
2026-09-19,MIN,LAA,Final,48.2,51.8,4.27,4.37,8.6,110,-119,7.5,1.2,,-4.7,,29.7,,-32.1,,5,6,11,N/A
2026-09-19,NYY,ARI,Final,70.7,29.3,4.42,3.13,7.5,-152,140,7.5,17.2,,-29.7,,-0.7,,-5.1,,3,5,8,N/A
2026-09-19,OAK,CLE,Final,37.2,62.8,4.09,4.96,9.1,,,,,,,,,,,,6,12,18,N/A
2026-09-19,PHI,NYM,Final,44.1,55.9,4.06,4.43,8.5,,,,,,,,,,,,3,10,13,N/A
2026-09-19,SEA,COL,Final,52.8,47.2,6.44,6.19,12.6,-140,129,11.0,-9.5,,8.1,,35.2,,-37.2,,3,5,8,N/A
2026-09-19,SFG,LAD,Final,27.5,72.5,3.42,4.93,8.3,338,-391,7.5,20.5,,-9.0,,22.8,,-25.9,,4,10,14,N/A
2026-09-19,TOR,TEX,Final,45.6,54.4,3.62,3.87,7.5,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,2,6,8,N/A
2026-09-19,WSN,STL,Final,59.6,40.4,4.76,4.1,8.9,,,,,,,,,,,,8,5,13,N/A
2026-09-20,ATL,HOU,Final,60.8,39.2,4.31,3.66,8.0,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,4,2,6,N/A
2026-09-20,BOS,TBR,Final,43.6,56.4,4.08,4.52,8.6,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,1,5,6,N/A
2026-09-20,CHC,CIN,Final,75.9,24.1,6.98,4.81,11.8,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,9,1,10,N/A
2026-09-20,DET,CHW,Final,56.3,43.7,4.33,3.96,8.3,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,1,8,9,N/A
2026-09-20,KCR,PIT,Final,42.9,57.1,3.91,4.36,8.3,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,3,4,7,N/A
2026-09-20,MIA,SDP,Final,51.9,48.1,4.17,4.05,8.2,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,3,7,10,N/A
2026-09-20,MIL,BAL,Final,75.7,24.3,4.85,3.18,8.0,-202,183,7.5,13.2,,-31.2,,7.7,,-13.3,,3,0,3,N/A
2026-09-20,MIN,LAA,Final,58.1,41.9,5.07,4.52,9.6,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,8,0,8,N/A
2026-09-20,NYY,ARI,Final,57.8,42.2,4.78,4.28,9.1,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,4,8,12,N/A
2026-09-20,OAK,CLE,Final,29.5,70.5,3.81,5.24,9.0,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,0,1,1,N/A
2026-09-20,PHI,NYM,Final,64.4,35.6,4.38,3.5,7.9,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,7,2,9,N/A
2026-09-20,SEA,COL,Final,56.2,43.8,6.52,6.03,12.6,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,2,1,3,N/A
2026-09-20,SFG,LAD,Final,28.4,71.6,3.67,5.2,8.9,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,1,3,4,N/A
2026-09-20,TOR,TEX,Final,53.2,46.8,3.78,3.57,7.4,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,7,2,9,N/A
2026-09-20,WSN,STL,Final,46.8,53.2,4.73,4.96,9.7,N/A,N/A,N/A,N/A,,N/A,,N/A,,N/A,,3,5,8,N/A
2026-09-21,MIN,SFG,Final,51.9,48.1,4.55,4.42,9.0,-118,109,8.0,-4.1,,0.5,,17.3,,-22.6,,2,5,7,N/A
2026-09-21,TOR,BAL,Final,50.3,49.7,3.97,3.93,7.9,105,-116,7.5,3.1,,-7.5,,-1.6,,-5.3,,3,4,7,N/A
2026-09-21,WSN,DET,Final,49.1,50.9,4.61,4.66,9.3,139,-155,8.0,17.3,,-16.3,,21.6,,-29.4,,2,9,11,N/A
2026-09-22,ARI,COL,Final,73.0,27.0,7.66,5.61,13.3,-178,163,11.0,14.0,,-29.0,,45.1,,-47.1,,7,2,9,N/A
2026-09-22,CHW,KCR,Final,54.0,46.0,4.71,4.46,9.2,-111,103,8.0,2.6,,-6.6,,25.8,,-29.1,,14,11,25,N/A
2026-09-22,CIN,ATL,Final,33.5,66.5,4.22,5.38,9.6,208,-231,9.5,3.2,,-4.7,,-2.6,,-3.3,,4,0,4,N/A
2026-09-22,CLE,BOS,Final,49.5,50.5,3.75,3.78,7.5,108,-116,6.0,3.0,,-6.0,,31.6,,-39.1,,3,2,5,N/A
2026-09-22,HOU,SEA,Final,45.3,54.7,3.78,4.07,7.8,118,-128,7.0,-1.2,,-2.6,,11.1,,-17.5,,7,0,7,N/A
2026-09-22,LAA,OAK,Final,49.3,50.7,4.25,4.28,8.5,-105,-103,9.5,-3.7,,-0.1,,-31.2,,24.8,,7,9,16,N/A
2026-09-22,MIA,CHC,Final,30.4,69.6,4.24,5.7,9.9,178,-196,6.5,-15.5,,5.1,,63.4,,-72.7,,8,2,10,N/A
2026-09-22,MIL,PHI,Final,50.4,49.6,4.47,4.42,8.9,125,-135,7.0,13.4,,-13.7,,34.7,,-43.8,,4,6,10,N/A
2026-09-22,MIN,SFG,Final,59.3,40.7,4.51,3.93,8.4,-128,118,7.5,5.6,,-11.3,,21.8,,-25.5,,3,2,5,N/A
2026-09-22,NYM,TEX,Final,49.0,51.0,4.41,4.49,8.9,111,-120,8.0,3.4,,-6.5,,15.8,,-21.0,,6,3,9,N/A
2026-09-22,SDP,LAD,Final,48.5,51.5,4.17,4.26,8.4,117,-126,8.5,5.2,,-7.6,,-7.4,,1.7,,0,7,7,N/A
2026-09-22,STL,PIT,Final,48.0,52.0,4.38,4.48,8.9,148,-161,7.0,19.0,,-15.7,,34.5,,-42.6,,0,2,2,N/A
2026-09-22,TBR,NYY,Final,47.9,52.1,3.49,3.61,7.1,113,-122,6.0,2.0,,-5.2,,23.0,,-28.7,,6,1,7,N/A
